"year","team","conference","elo"
2023,"Southern Miss","Sun Belt",1164
2023,"South Florida","American Athletic",1413
2023,"Stanford","Pac-12",1180
2023,"Syracuse","ACC",1246
2023,"TCU","Big 12",1631
2023,"Temple","American Athletic",1017
2023,"Tennessee","SEC",1877
2023,"Texas","Big 12",2025
2023,"Texas A&M","SEC",1772
2023,"Texas State","Sun Belt",1349
2023,"Texas Tech","Big 12",1562
2023,"Toledo","Mid-American",1539
2023,"Troy","Sun Belt",1736
2023,"Tulane","American Athletic",1598
2023,"Tulsa","American Athletic",1122
2023,"UAB","American Athletic",1295
2023,"UCF","Big 12",1617
2023,"UCLA","Pac-12",1602
2023,"UConn","FBS Independents",1096
2023,"UL Monroe","Sun Belt",985
2023,"UNLV","Mountain West",1494
2023,"USC","Pac-12",1723
2023,"Utah","Pac-12",1684
2023,"Utah State","Mountain West",1269
2023,"UTEP","Conference USA",1195
2023,"UTSA","American Athletic",1647
2023,"Vanderbilt","SEC",1176
2023,"Virginia","ACC",1216
2023,"Virginia Tech","ACC",1657
2023,"Wake Forest","ACC",1397
2023,"Washington","Pac-12",1879
2023,"Washington State","Pac-12",1546
2023,"Western Kentucky","Conference USA",1449
2023,"Western Michigan","Mid-American",1223
2023,"West Virginia","Big 12",1611
2023,"Wisconsin","Big Ten",1631
2023,"Wyoming","Mountain West",1494
