"season","team","conference","games","time_of_poss_total","pass_comps","pass_atts","net_pass_yds","pass_TDs","interceptions","rush_atts","rush_yds","rush_TDs","total_yds","fumbles_lost","turnovers","first_downs","third_downs","third_down_convs","fourth_down_convs","fourth_downs","penalties","penalty_yds","kick_returns","kick_return_yds","kick_return_TDs","punt_returns","punt_return_yds","punt_return_TDs","passes_intercepted","passes_intercepted_yds","passes_intercepted_TDs"
2019,"BYU","FBS Independents",13,23231,296,468,3700,20,11,465,2068,25,5768,10,21,293,186,79,7,19,79,668,23,427,0,21,283,0,15,240,1
2019,"Iowa State","Big 12",13,23715,315,484,4047,29,9,412,1729,22,5776,7,16,298,169,64,9,21,61,497,26,477,0,10,96,0,6,102,1
2019,"Tennessee","SEC",13,22904,200,360,2878,19,13,462,1874,13,4752,7,20,241,176,76,2,12,83,683,19,290,0,17,235,3,15,174,0
2019,"Virginia Tech","ACC",13,24034,184,317,2715,24,8,565,2289,22,5004,14,22,257,179,69,9,13,69,680,28,540,0,25,242,0,14,88,1
2019,"San Diego State","Mountain West",13,26459,253,397,2634,15,6,536,1827,12,4461,2,8,259,207,79,13,23,78,655,23,503,1,28,181,1,18,58,0
2019,"Air Force","Mountain West",13,26885,68,126,1602,14,6,755,3881,41,5483,12,18,286,157,84,16,21,42,368,13,93,0,5,6,0,7,240,3
2019,"Tulane","American Athletic",13,23801,197,336,2679,19,10,612,3162,33,5841,8,18,299,181,70,20,34,103,883,43,980,1,17,168,0,12,129,2
2019,"UL Monroe","Sun Belt",12,21183,245,411,3041,21,12,457,2490,29,5531,6,18,272,175,70,16,28,95,773,40,621,0,10,52,0,10,167,1
2019,"Ole Miss","SEC",12,20326,186,331,2328,11,5,559,3012,29,5340,9,14,271,182,67,17,31,59,585,25,404,1,15,87,0,10,44,0
2019,"Texas Tech","Big 12",12,20323,342,531,3896,24,8,404,1795,20,5691,8,16,298,178,68,12,25,75,695,37,779,0,15,88,0,14,162,0
2019,"Washington","Pac-12",13,23490,263,411,3164,24,8,461,1922,24,5086,6,14,264,171,61,23,32,79,639,21,388,0,25,268,1,13,139,0
2019,"Michigan","Big Ten",13,23032,228,410,3261,25,9,495,1959,26,5220,11,20,286,175,68,12,22,80,649,27,665,1,37,271,0,9,31,0
2019,"South Florida","American Athletic",12,20047,177,328,2035,18,10,445,1935,15,3970,9,19,200,177,70,7,17,101,854,33,609,0,15,125,0,12,279,0
2019,"Purdue","Big Ten",12,19870,320,520,3719,29,15,342,999,9,4718,8,23,247,181,73,8,16,55,452,36,521,0,12,67,0,9,135,1
2019,"Texas State","Sun Belt",12,19248,278,441,2893,17,20,327,921,8,3814,4,24,203,170,58,4,13,66,617,41,899,0,15,124,0,7,38,0
